negozio,data,vendite
BHR,05/01/2025,4545
BIR,05/01/2025,100
ECI,05/01/2025,6785.11
FLO,05/01/2025,401.64
GLA,05/01/2025,995.83
LBM,05/01/2025,4679.19
LRM,05/01/2025,3823.76
MAD,05/01/2025,636.36
MILOLD,05/01/2025,2713.11
NBS,05/01/2025,5141.66
PAR,05/01/2025,3054.16
ROM,05/01/2025,2360.64
SRV,05/01/2025,6305.73
BHR,06/01/2025,8645
BIR,06/01/2025,1344.17
FLO,06/01/2025,1415.57
GLA,06/01/2025,2495.84
LBM,06/01/2025,4691.68
LRM,06/01/2025,1299.17
MILOLD,06/01/2025,-430.31
NBS,06/01/2025,2012.5
NYC,06/01/2025,5420
PAR,06/01/2025,3904.16
ROM,06/01/2025,1250
SRV,06/01/2025,3155.73
BHR,07/01/2025,2960
BIR,07/01/2025,1695
ECI,07/01/2025,4727.26
FLO,07/01/2025,717.21
GLA,07/01/2025,1604.16
LBM,07/01/2025,425
LON,07/01/2025,683.33
LRM,07/01/2025,762.29
MAD,07/01/2025,2016.53
MILOLD,07/01/2025,2086.06
NYC,07/01/2025,3215
PAR,07/01/2025,3570.83
ROM,07/01/2025,3569.66
SRV,07/01/2025,2286.88
BHR,08/01/2025,8175
BIR,08/01/2025,460
ECI,08/01/2025,2363.63
FLO,08/01/2025,2065.57
GLA,08/01/2025,6437.47
LBM,08/01/2025,4879.14
LON,08/01/2025,866.66
LRM,08/01/2025,2004.1
MAD,08/01/2025,677.69
MILOLD,08/01/2025,2528.69
NBS,08/01/2025,870.83
NYC,08/01/2025,3885
PAR,08/01/2025,4125
ROM,08/01/2025,549.18
SRV,08/01/2025,2713.1
BHR,09/01/2025,3897.5
BIR,09/01/2025,1183.75
ECI,09/01/2025,4462.82
FLO,09/01/2025,1573.78
GLA,09/01/2025,3779.16
LBM,09/01/2025,4516.66
LON,09/01/2025,912.5
LRM,09/01/2025,1427.04
MAD,09/01/2025,2768.59
MILOLD,09/01/2025,2311.48
NBS,09/01/2025,233.33
NYC,09/01/2025,8612
PAR,09/01/2025,6857.49
ROM,09/01/2025,1782.78
SRV,09/01/2025,1147.54
BHR,10/01/2025,2845
BIR,10/01/2025,2849.99
ECI,10/01/2025,3454.55
FLO,10/01/2025,2955.74
GLA,10/01/2025,3237.49
LBM,10/01/2025,3558.33
LON,10/01/2025,1562.5
LRM,10/01/2025,1782.78
MAD,10/01/2025,1644.63
MILOLD,10/01/2025,6014.35
NBS,10/01/2025,2243.75
NYC,10/01/2025,3610
PAR,10/01/2025,4716.66
ROM,10/01/2025,2168.03
SRV,10/01/2025,2954.9
BHR,11/01/2025,13370
BIR,11/01/2025,3054.17
ECI,11/01/2025,5805.77
FLO,11/01/2025,2434.43
GLA,11/01/2025,4654.18
LBM,11/01/2025,5104.16
LRM,11/01/2025,1951.23
MAD,11/01/2025,3194.21
MILOLD,11/01/2025,3909.83
NBS,11/01/2025,4810.82
NYC,11/01/2025,5500
PAR,11/01/2025,551.25
ROM,11/01/2025,2629.11
SRV,11/01/2025,2920.48
BHR,12/01/2025,12504
BIR,12/01/2025,2384.58
ECI,12/01/2025,2838.85
FLO,12/01/2025,647.54
GLA,12/01/2025,2458.33
LBM,12/01/2025,4779.16
LRM,12/01/2025,1012.29
MAD,12/01/2025,3144.63
MILOLD,12/01/2025,1508.2
NBS,12/01/2025,262.5
PAR,12/01/2025,3091.66
ROM,12/01/2025,2799.19
SRV,12/01/2025,7512.28
BHR,13/01/2025,13887.5
BIR,13/01/2025,1023.75
ECI,13/01/2025,351.24
FLO,13/01/2025,1885.26
GLA,13/01/2025,658.33
LBM,13/01/2025,2183.34
LRM,13/01/2025,2749.99
MAD,13/01/2025,326.45
MILOLD,13/01/2025,2319.67
NBS,13/01/2025,2920.83
NYC,13/01/2025,4225
PAR,13/01/2025,2391.67
ROM,13/01/2025,-340.16
SRV,13/01/2025,5331.12
BHR,14/01/2025,11170
BIR,14/01/2025,1633.34
ECI,14/01/2025,2128.1
FLO,14/01/2025,2612.71
GLA,14/01/2025,287.5
LBM,14/01/2025,2825
LRM,14/01/2025,397.54
MAD,14/01/2025,2297.51
MILOLD,14/01/2025,4020.9
NBS,14/01/2025,11020.82
NYC,14/01/2025,-220
PAR,14/01/2025,4398.55
ROM,14/01/2025,-286.89
SRV,14/01/2025,2654.08
BHR,15/01/2025,9270
BIR,15/01/2025,829.58
ECI,15/01/2025,471.08
FLO,15/01/2025,2700.81
GLA,15/01/2025,1233.34
LBM,15/01/2025,2458.33
LON,15/01/2025,266.67
LRM,15/01/2025,483.6
MAD,15/01/2025,3442.14
MILOLD,15/01/2025,389.34
NBS,15/01/2025,3637.5
NYC,15/01/2025,-3185
PAR,15/01/2025,5363.74
ROM,15/01/2025,3025
SRV,15/01/2025,2090.16
BHR,16/01/2025,8835
BIR,16/01/2025,737.5
ECI,16/01/2025,2884.3
FLO,16/01/2025,1219.26
GLA,16/01/2025,2145.83
LBM,16/01/2025,3958.33
LON,16/01/2025,4440.4
LRM,16/01/2025,4036.88
MAD,16/01/2025,351.24
MILOLD,16/01/2025,5488.11
NBS,16/01/2025,3174.99
NYC,16/01/2025,9120
PAR,16/01/2025,4831.67
ROM,16/01/2025,7053.26
SRV,16/01/2025,2701.62
BHR,17/01/2025,6885
BIR,17/01/2025,2118.34
ECI,17/01/2025,1066.12
FLO,17/01/2025,1471.31
GLA,17/01/2025,3400.01
LBM,17/01/2025,5091.67
LRM,17/01/2025,606.55
MAD,17/01/2025,2260.33
MILOLD,17/01/2025,3323.77
NBS,17/01/2025,2915.41
NYC,17/01/2025,8195
PAR,17/01/2025,6593.73
ROM,17/01/2025,3622.94
SRV,17/01/2025,1864.74
BHR,18/01/2025,12705
BIR,18/01/2025,3002.09
ECI,18/01/2025,4740.7
FLO,18/01/2025,5407.38
GLA,18/01/2025,4412.49
LBM,18/01/2025,5337.5
LON,18/01/2025,398.34
LRM,18/01/2025,3614.74
MAD,18/01/2025,1095.04
MILOLD,18/01/2025,5397.95
NBS,18/01/2025,2454.16
NYC,18/01/2025,10080
PAR,18/01/2025,3066.67
ROM,18/01/2025,2356.55
SRV,18/01/2025,3704.9
BHR,19/01/2025,2725
BIR,19/01/2025,1306.67
ECI,19/01/2025,1272.72
GLA,19/01/2025,2254.16
LBM,19/01/2025,5363.32
LRM,19/01/2025,2065.57
MAD,19/01/2025,2826.86
MILOLD,19/01/2025,2049.18
NBS,19/01/2025,1812.51
PAR,19/01/2025,4025
ROM,19/01/2025,2311.47
SRV,19/01/2025,3454.92
BHR,20/01/2025,4150
BIR,20/01/2025,2073.75
ECI,20/01/2025,6681.8
FLO,20/01/2025,1705.74
GLA,20/01/2025,2229.17
LBM,20/01/2025,2245.83
LRM,20/01/2025,1049.18
MAD,20/01/2025,958.68
MILOLD,20/01/2025,2786.88
NBS,20/01/2025,383.33
NYC,20/01/2025,5390
PAR,20/01/2025,5674.99
SRV,20/01/2025,3856.54
BHR,21/01/2025,7875
BIR,21/01/2025,1033.33
ECI,21/01/2025,7508.67
FLO,21/01/2025,1008.2
GLA,21/01/2025,1020.82
LBM,21/01/2025,6012.51
LON,21/01/2025,-645.83
LRM,21/01/2025,1213.12
MAD,21/01/2025,2904.95
MILOLD,21/01/2025,3971.3
NBS,21/01/2025,4937.27
NYC,21/01/2025,7897
PAR,21/01/2025,2591.66
ROM,21/01/2025,1229.5
SRV,21/01/2025,2385.23
BHR,22/01/2025,9265
BIR,22/01/2025,852.5
ECI,22/01/2025,4990.07
FLO,22/01/2025,245.9
GLA,22/01/2025,1100
LBM,22/01/2025,3787.49
LON,22/01/2025,2928.75
LRM,22/01/2025,1348.36
MAD,22/01/2025,6117.78
MILOLD,22/01/2025,3600.82
NBS,22/01/2025,2254.99
NYC,22/01/2025,4000
PAR,22/01/2025,3804.16
ROM,22/01/2025,4110.65
SRV,22/01/2025,2372.95
BHR,23/01/2025,7430
BIR,23/01/2025,1426.08
ECI,23/01/2025,5664.04
FLO,23/01/2025,2192.62
GLA,23/01/2025,5066.67
LBM,23/01/2025,1354.17
LON,23/01/2025,537.5
LRM,23/01/2025,307.38
MAD,23/01/2025,859.5
MILOLD,23/01/2025,397.54
NBS,23/01/2025,1337.5
NYC,23/01/2025,5025
PAR,23/01/2025,8060.83
ROM,23/01/2025,3828.28
SRV,23/01/2025,1823.77
BHR,24/01/2025,8990
BIR,24/01/2025,2405.41
ECI,24/01/2025,-499.99
FLO,24/01/2025,1349.18
GLA,24/01/2025,4395.84
LBM,24/01/2025,3337.49
LON,24/01/2025,679.17
LRM,24/01/2025,2831.97
MAD,24/01/2025,1964.03
NBS,24/01/2025,3883.33
NYC,24/01/2025,2915
PAR,24/01/2025,3800.84
ROM,24/01/2025,536.89
SRV,24/01/2025,2848.35
BHR,25/01/2025,10995
BIR,25/01/2025,3494.58
ECI,25/01/2025,7305.8
FLO,25/01/2025,5098.35
GLA,25/01/2025,4037.5
LBM,25/01/2025,6187.51
LON,25/01/2025,1312.49
LRM,25/01/2025,2331.97
MAD,25/01/2025,3136.35
MILOLD,25/01/2025,1442.62
NBS,25/01/2025,10474.56
NYC,25/01/2025,4551.5
PAR,25/01/2025,2474.99
ROM,25/01/2025,5848.34
SRV,25/01/2025,258.2
BHR,26/01/2025,4030
BIR,26/01/2025,2558.75
ECI,26/01/2025,1553.72
FLO,26/01/2025,1004.1
GLA,26/01/2025,2337.5
LBM,26/01/2025,3225.01
LRM,26/01/2025,1848.36
MAD,26/01/2025,309.92
MILOLD,26/01/2025,4532.78
NBS,26/01/2025,5716.67
PAR,26/01/2025,3683.33
ROM,26/01/2025,1983.6
SRV,26/01/2025,1397.54
BHR,27/01/2025,6195
BIR,27/01/2025,1522.08
ECI,27/01/2025,2309.93
FLO,27/01/2025,2168.03
GLA,27/01/2025,4891.66
LBM,27/01/2025,2454.16
LRM,27/01/2025,1790.99
MAD,27/01/2025,1413.22
MILOLD,27/01/2025,1254.09
NBS,27/01/2025,3562.51
NYC,27/01/2025,5210
PAR,27/01/2025,5566.66
ROM,27/01/2025,2911.07
SRV,27/01/2025,1645.08
BHR,28/01/2025,4020
BIR,28/01/2025,3227.5
ECI,28/01/2025,1297.52
FLO,28/01/2025,512.3
GLA,28/01/2025,4391.67
LBM,28/01/2025,1741.67
LRM,28/01/2025,1454.92
MAD,28/01/2025,1173.55
MILOLD,28/01/2025,1516.39
NBS,28/01/2025,3020.83
NYC,28/01/2025,4285
PAR,28/01/2025,5424.99
ROM,28/01/2025,5081.97
SRV,28/01/2025,3954.9
BHR,29/01/2025,9547
BIR,29/01/2025,475
ECI,29/01/2025,2104.15
FLO,29/01/2025,4209.85
GLA,29/01/2025,3612.5
LBM,29/01/2025,3141.66
LON,29/01/2025,-591.67
LRM,29/01/2025,614.75
MILOLD,29/01/2025,2930.73
NBS,29/01/2025,3349.99
NYC,29/01/2025,5150
PAR,29/01/2025,4212.5
ROM,29/01/2025,4946.72
SRV,29/01/2025,848.36
BHR,30/01/2025,12260
BIR,30/01/2025,3102.08
ECI,30/01/2025,2619.83
FLO,30/01/2025,4599.17
GLA,30/01/2025,4049.99
LBM,30/01/2025,5154.16
LON,30/01/2025,0
LRM,30/01/2025,1475.41
MAD,30/01/2025,3913.21
MILOLD,30/01/2025,2008.19
NBS,30/01/2025,7516.66
NYC,30/01/2025,2765
PAR,30/01/2025,7642.28
ROM,30/01/2025,831.97
SRV,30/01/2025,3204.9
BHR,31/01/2025,3705
BIR,31/01/2025,2643.75
ECI,31/01/2025,3301.65
FLO,31/01/2025,4455.73
GLA,31/01/2025,3412.5
LBM,31/01/2025,5016.67
LON,31/01/2025,235.42
LRM,31/01/2025,2409.83
MAD,31/01/2025,344.62
MILOLD,31/01/2025,4884.42
NBS,31/01/2025,3785
NYC,31/01/2025,230
PAR,31/01/2025,3612.49
ROM,31/01/2025,2856.55
SRV,31/01/2025,3811.46
BHR,01/02/2025,4898.5
BIR,01/02/2025,1184.5
ECI,01/02/2025,3464.87
FLO,01/02/2025,3084.42
GLA,01/02/2025,1750
LBM,01/02/2025,2849.99
LRM,01/02/2025,1389.34
MAD,01/02/2025,294.21
MILOLD,01/02/2025,4264.32
NBS,01/02/2025,5327.1
NYC,01/02/2025,12827.5
PAR,01/02/2025,7421.24
ROM,01/02/2025,3008.19
SRV,01/02/2025,3553.27
BHR,02/02/2025,4520
BIR,02/02/2025,2616.25
ECI,02/02/2025,1469
FLO,02/02/2025,1581.57
GLA,02/02/2025,2641.67
LBM,02/02/2025,2291.67
LRM,02/02/2025,1471.3
MILOLD,02/02/2025,1050.41
NBS,02/02/2025,2022.92
PAR,02/02/2025,3158.33
ROM,02/02/2025,1147.54
SRV,02/02/2025,2938.51
BHR,03/02/2025,2350
BIR,03/02/2025,1400
ECI,03/02/2025,1019.83
GLA,03/02/2025,1125
LBM,03/02/2025,1250
LRM,03/02/2025,1631.14
MILOLD,03/02/2025,2860.66
NYC,03/02/2025,5090
PAR,03/02/2025,2222.93
ROM,03/02/2025,52.46
SRV,03/02/2025,3222.13
BHR,04/02/2025,209
BIR,04/02/2025,1814.59
ECI,04/02/2025,950.41
FLO,04/02/2025,1350.42
GLA,04/02/2025,5733.34
LBM,04/02/2025,1916.66
LRM,04/02/2025,1745.9
MAD,04/02/2025,516.53
MILOLD,04/02/2025,2627.65
NBS,04/02/2025,-900
NYC,04/02/2025,1350
PAR,04/02/2025,3645.84
SRV,04/02/2025,1922.12
BHR,05/02/2025,2995
BIR,05/02/2025,370
ECI,05/02/2025,1557.86
FLO,05/02/2025,878.69
GLA,05/02/2025,-583.34
LBM,05/02/2025,1068.75
LRM,05/02/2025,594.26
MILOLD,05/02/2025,1329.92
NBS,05/02/2025,4989.16
NYC,05/02/2025,5701.5
PAR,05/02/2025,3107.49
ROM,05/02/2025,942.62
SRV,05/02/2025,241.8
BHR,06/02/2025,7415
BIR,06/02/2025,966.25
ECI,06/02/2025,2314.04
FLO,06/02/2025,1385.25
GLA,06/02/2025,1408.34
LBM,06/02/2025,2708.33
LRM,06/02/2025,2155.73
MAD,06/02/2025,801.65
MILOLD,06/02/2025,2737.7
NBS,06/02/2025,1098.33
NYC,06/02/2025,-405
PAR,06/02/2025,2695.83
ROM,06/02/2025,3844.26
SRV,06/02/2025,1143.44
BHR,07/02/2025,14491.5
BIR,07/02/2025,1905.83
ECI,07/02/2025,2694.21
FLO,07/02/2025,491.8
GLA,07/02/2025,2616.67
LBM,07/02/2025,625
LRM,07/02/2025,2889.33
MILOLD,07/02/2025,1750.41
NBS,07/02/2025,604.17
NYC,07/02/2025,6166
PAR,07/02/2025,2083.33
ROM,07/02/2025,815.57
SRV,07/02/2025,340.16
BHR,08/02/2025,2965
BIR,08/02/2025,2013.33
ECI,08/02/2025,5041.32
FLO,08/02/2025,4819.66
GLA,08/02/2025,3020.84
LBM,08/02/2025,2033.33
LRM,08/02/2025,3614.76
MAD,08/02/2025,557.85
MILOLD,08/02/2025,3826.22
NBS,08/02/2025,9111.26
NYC,08/02/2025,7040
PAR,08/02/2025,7137.51
ROM,08/02/2025,4172.13
SRV,08/02/2025,1304.5
BHR,09/02/2025,1440.5
BIR,09/02/2025,377.5
ECI,09/02/2025,739.67
FLO,09/02/2025,1549.18
GLA,09/02/2025,4400
LBM,09/02/2025,1325
MAD,09/02/2025,1487.6
MILOLD,09/02/2025,1643.44
NBS,09/02/2025,2712.5
PAR,09/02/2025,8370.71
ROM,09/02/2025,553.28
SRV,09/02/2025,1163.11
BHR,10/02/2025,2140
BIR,10/02/2025,929.17
ECI,10/02/2025,-595.04
FLO,10/02/2025,815.57
GLA,10/02/2025,1970.84
LBM,10/02/2025,1066.67
LRM,10/02/2025,614.75
MAD,10/02/2025,1152.89
MILOLD,10/02/2025,1832.79
NBS,10/02/2025,2075
NYC,10/02/2025,6397.5
PAR,10/02/2025,2908.33
ROM,10/02/2025,1073.77
BHR,11/02/2025,6735
BIR,11/02/2025,2753.74
ECI,11/02/2025,1772.72
GLA,11/02/2025,6679.15
LBM,11/02/2025,2266.67
LRM,11/02/2025,-127.05
